OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,52,959,שטח ללא שיפוט,שטח פתוח,0,1151851,פנאי/טבע/ספורט,0,3,0,0,3,0,1,2,0,3,2,0,0,0,2,2,45.144709051445922,202110,4931.087212722710319,1151851.481438100337982
-1,0,1610,רואבי,לא ידוע,0,3791772,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202110,7939.857873513933555,3791772.491296899039298
-1,50,2315,עמיר שדה נחמיה כפר בלום שמיר להבות הבשן נאות מרדכי גונן,מגורים,5327,106296188,מגורים,0,1,0,0,2,0,0,2,0,2,2,0,0,0,2,2,0.470383753215112,202110,61202.266353344195522,106296188.289339929819107
-1,25,561,ראשון לציון,מגורים,8866,789515,מגורים,8300,1,0,0,2,0,0,2,0,2,2,0,0,0,1,2,31.665030192303952,202110,3723.715538608673796,789514.484848845633678
-1,0,1203,ירושלים,שטח פתוח,0,1197759,פנאי/טבע/ספורט,3000,3,,,,,,,,,,,,,,,0.000000000000000,202110,5921.112911384024301,1197758.731916900957003
-1,0,2575,בסיס חיל האוויר צור,בסיס צבאי,0,9574748,מוסדי/ציבורי,0,2,,,,,,,,,,,,,,,0.000000000000000,202110,13798.965182793712302,9574748.443156750872731
-1,22,154,כפר שמריהו,מגורים,1890,1506255,מגורים,267,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,14.605760940725803,202110,5180.122593858227447,1506254.969479649327695
-1,10,1845,החותרים מגדים,מגורים,2138,7711528,מגורים,0,1,2,0,4,0,4,2,0,6,2,0,0,0,1,2,1.296759927003647,202110,17196.164427756462828,7711527.624937070533633
-1,5,796,גדרה,מגורים,7412,1170609,מגורים,2550,1,1,0,0,1,0,1,0,1,2,0,0,0,2,2,4.271279602681902,202110,4746.929514806724910,1170609.387608467834070
-1,23,2408,באר שבע,מגורים,2219,345749,מגורים,9000,1,0,0,1,0,0,1,0,1,3,1,0,0,2,3,66.522270406888538,202110,3392.214615299168145,345748.872660520253703
